,precision,recall,f1-score,support
CT,0.9864864864864865,0.9605263157894737,0.9733333333333334,76.0
PCM,0.92,0.9583333333333334,0.9387755102040817,48.0
PDLC,0.9444444444444444,0.9444444444444444,0.9444444444444444,54.0
accuracy,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550561797752809
macro avg,0.9503103103103103,0.9544346978557504,0.9521844293272865,178.0
weighted avg,0.9558032189492863,0.9550561797752809,0.9552503248490408,178.0
