,precision,recall,f1-score,support
CT,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
PCM,0.9166666666666666,0.9166666666666666,0.9166666666666666,48.0
PDLC,0.9259259259259259,0.9259259259259259,0.9259259259259259,54.0
accuracy,0.9438202247191011,0.9438202247191011,0.9438202247191011,0.9438202247191011
macro avg,0.9387589343729695,0.9387589343729695,0.9387589343729695,178.0
weighted avg,0.9438202247191011,0.9438202247191011,0.9438202247191011,178.0
