Fold,Accuracy,Recall,Prec.,F1
0,0.9571,0.9571,0.9577,0.9572
1,0.9693,0.9693,0.9699,0.9694
2,0.9693,0.9693,0.9694,0.9693
3,0.9632,0.9632,0.9638,0.9634
4,0.9815,0.9815,0.9816,0.9815
5,0.9753,0.9753,0.9764,0.9751
6,0.9568,0.9568,0.9568,0.9567
7,0.9691,0.9691,0.9693,0.9691
8,0.9815,0.9815,0.9815,0.9815
9,0.963,0.963,0.9632,0.963
Mean,0.9686,0.9686,0.969,0.9686
Std,0.0084,0.0084,0.0084,0.0084
