Fold,Accuracy,Recall,Prec.,F1
0,0.9724,0.9724,0.9725,0.9723
1,0.9503,0.9503,0.9505,0.9503
2,0.9724,0.9724,0.9738,0.9724
3,0.9834,0.9834,0.9834,0.9834
4,0.9611,0.9611,0.9615,0.9612
5,0.9278,0.9278,0.9275,0.9275
6,0.9778,0.9778,0.9785,0.9778
7,0.9611,0.9611,0.9612,0.961
8,0.9444,0.9444,0.9444,0.9444
9,0.9833,0.9833,0.9836,0.9833
Mean,0.9634,0.9634,0.9637,0.9634
Std,0.0173,0.0173,0.0175,0.0173
