Fold,Accuracy,Recall,Prec.,F1
0,0.9613,0.9613,0.9613,0.9611
1,0.9503,0.9503,0.9505,0.9503
2,0.9779,0.9779,0.9787,0.9779
3,0.9834,0.9834,0.9834,0.9834
4,0.9611,0.9611,0.9615,0.9612
5,0.9333,0.9333,0.9333,0.9333
6,0.9667,0.9667,0.9677,0.9666
7,0.9611,0.9611,0.9612,0.961
8,0.9444,0.9444,0.9444,0.9444
9,0.9833,0.9833,0.9836,0.9833
Mean,0.9623,0.9623,0.9626,0.9623
Std,0.0157,0.0157,0.0158,0.0157
