,precision,recall,f1-score,support
CT,0.961038961038961,0.9736842105263158,0.9673202614379085,76.0
PCM,0.9375,0.9375,0.9375,48.0
PDLC,0.9433962264150944,0.9259259259259259,0.9345794392523364,54.0
accuracy,0.949438202247191,0.949438202247191,0.949438202247191,0.949438202247191
macro avg,0.9473117291513518,0.945703378817414,0.9464665668967484,178.0
weighted avg,0.94933908576054,0.949438202247191,0.9493462336455462,178.0
