Fold,Accuracy,Recall,Prec.,F1
0,0.9724,0.9724,0.9727,0.9722
1,0.9669,0.9669,0.9679,0.9668
2,0.989,0.989,0.9893,0.989
3,0.989,0.989,0.989,0.989
4,0.9667,0.9667,0.9667,0.9666
5,0.9389,0.9389,0.9389,0.9388
6,0.9667,0.9667,0.9685,0.9668
7,0.9778,0.9778,0.9779,0.9778
8,0.9611,0.9611,0.9612,0.961
9,0.9833,0.9833,0.9836,0.9833
Mean,0.9712,0.9712,0.9716,0.9711
Std,0.0142,0.0142,0.0142,0.0143
