Fold,Accuracy,Recall,Prec.,F1
0,0.9669,0.9669,0.9672,0.9667
1,0.9503,0.9503,0.9505,0.9503
2,0.9724,0.9724,0.9733,0.9723
3,0.9834,0.9834,0.9834,0.9834
4,0.9611,0.9611,0.9615,0.9612
5,0.9333,0.9333,0.9333,0.9333
6,0.9778,0.9778,0.9786,0.9778
7,0.9667,0.9667,0.9668,0.9667
8,0.9444,0.9444,0.9444,0.9444
9,0.9833,0.9833,0.9836,0.9833
Mean,0.964,0.964,0.9643,0.9639
Std,0.016,0.016,0.0161,0.0159
