Fold,Accuracy,Recall,Prec.,F1
0,0.9724,0.9724,0.9727,0.9722
1,0.9558,0.9558,0.9561,0.9558
2,0.9779,0.9779,0.9784,0.9778
3,0.989,0.989,0.989,0.9889
4,0.9722,0.9722,0.9726,0.9722
5,0.9444,0.9444,0.9444,0.9444
6,0.9778,0.9778,0.9783,0.9779
7,0.9667,0.9667,0.9668,0.9667
8,0.9722,0.9722,0.9726,0.9723
9,0.9833,0.9833,0.9836,0.9833
Mean,0.9712,0.9712,0.9715,0.9712
Std,0.0124,0.0124,0.0124,0.0124
