,precision,recall,f1-score,support
CT,0.8987341772151899,0.9342105263157895,0.9161290322580645,76.0
PCM,0.9318181818181818,0.8541666666666666,0.8913043478260869,48.0
PDLC,0.9272727272727272,0.9444444444444444,0.9357798165137615,54.0
accuracy,0.9157303370786517,0.9157303370786517,0.9157303370786517,0.9157303370786517
macro avg,0.9192750287686996,0.9109405458089669,0.914404398865971,178.0
weighted avg,0.9163134689233395,0.9157303370786517,0.9153962092079112,178.0
