feature,mean_shap_value_Terena
Ca,0.10728142022987917
As,0.07677928502533457
V,0.06172066734735666
Ta,0.037166641780998586
K,0.03305225409134144
Mo,0.03280832774647759
Cu,0.027270150043313932
Sr,0.026638238554894722
Ba,0.02463762301894806
Se,0.021311946512922248
Cr,0.019408735518515484
Ti,0.017254355685248215
S,0.01237991125414063
Cl,0.008902604659183244
Fe,0.007062252165125776
Rb,0.006745285510668869
Zn,0.006646798969266932
Sb,0.005050227460903381
Zr,0.004879347165857229
Al,0.00448356897377376
P,0.0026530897937897023
Ag,0.002405804025895881
Ni,0.002392266697356077
Sn,0.0023851077525798466
Mn,0.0023016790035444174
Si,0.0021487124907305106
W,0.0016683244439738114
Co,0.0015271159002550989
Tl,0.0012313785067459468
Sc,0.0011221817049819986
Ga,0.0010620191085261115
Au,0.0010607076780043978
Th,0.0010535301760980311
Hg,0.0010092673017592254
Pd,0.000962517840345503
In,0.0008845828165795129
Te,0.0008513637295451016
Ru,0.0008506288490498172
Br,0.0008425578950456868
Cd,0.0008412864219672329
Y,0.0007841153846026458
Nb,0.0007165180591236428
Ge,0.0006718526297545606
Pb,0.00018388142680398855
